kross_id,nome,citta,indirizzo,ospiti_default,ospiti_min,ospiti_max,url_prenotazione,note_bot
1174,STANZA EUFORBIA 105,Siniscola,"Via Euforbia, Siniscola",3,1,3,https://affittasardegna.it/?kross_accommodation=1174,
959,STAZZU LA QUERCIA,Aglientu,"Località Lagnata, Aglientu",10,1,10,https://affittasardegna.it/?kross_accommodation=959,
1092,TERRA LUGHENTE,Stintino,"Via Angelo Moratti 9/A, Stintino",4,1,4,https://affittasardegna.it/?kross_accommodation=1092,
1055,TRILO AGOSTINO 2,Alghero,"Via Don Minzoni, 92, Alghero",5,1,5,https://affittasardegna.it/?kross_accommodation=1055,
802,TRILO AGOSTINO 3,Alghero,"Via Don Minzoni, 92, Alghero",5,1,5,https://affittasardegna.it/?kross_accommodation=802,
1137,TRILO ALBICOCCA,Viddalba,"Via dei Salici , Viddalba",6,1,6,https://affittasardegna.it/?kross_accommodation=1137,
1181,TRILO ALISEO,Stintino,"Località Cala Lupo - Villaggio dei Mirti A , Stintino",4,1,4,https://affittasardegna.it/?kross_accommodation=1181,
1175,TRILO APPENTOS 1,Siniscola,"Via Sos Appentos, Siniscola",4,1,4,https://affittasardegna.it/?kross_accommodation=1175,
1176,TRILO APPENTOS 2,Siniscola,"Via Sos Appentos , Siniscola",4,1,4,https://affittasardegna.it/?kross_accommodation=1176,
796,TRILO APPENTOS 3,Siniscola,"Via Sos Appentos, Siniscola",4,1,4,https://affittasardegna.it/?kross_accommodation=796,
250,TRILO BELLAVISTA 1,Porto Istana,"Viale Porto Istana, Porto Istana",6,1,6,https://affittasardegna.it/?kross_accommodation=250,
791,TRILO BELLAVISTA 2,Porto Istana,"Viale Porto Istana, Porto Istana",6,1,6,https://affittasardegna.it/?kross_accommodation=791,
335,TRILO BELLAVISTA 3,Porto Istana,"Viale Porto Istana, Porto Istana",4,1,4,https://affittasardegna.it/?kross_accommodation=335,
1034,TRILO CALA LUPO,Stintino,"Via Carru e Frau, Stintino",6,1,6,https://affittasardegna.it/?kross_accommodation=1034,
241,TRILO CARAIBI,Pittulongu,"Via Mar Dei Caraibi n.4, Pittulongu",5,1,5,https://affittasardegna.it/?kross_accommodation=241,
1005,TRILO CEDRO,Orosei,"Via Tiziano Vercellio ,7, Orosei",5,1,6,https://affittasardegna.it/?kross_accommodation=1005,
1135,TRILO CERICA,Stintino,"Via Punta d'Elice 10/E, Stintino",5,1,5,https://affittasardegna.it/?kross_accommodation=1135,
1133,TRILO COLIBRÌ,Orosei,"Località Settile SNC, OROSEI",4,1,4,https://affittasardegna.it/?kross_accommodation=1133,
1131,TRILO DE BAHAS,Golfo Aranci,"Località Marana- Golfo di Marinella , GOLFO ARANCI",6,1,6,https://affittasardegna.it/?kross_accommodation=1131,
914,TRILO EBANO 1,San Teodoro,"Via Santa Teresa, San Teodoro",4,1,6,https://affittasardegna.it/?kross_accommodation=914,
915,TRILO EBANO 2,San Teodoro,"Via Santa Teresa, San Teodoro",4,1,6,https://affittasardegna.it/?kross_accommodation=915,
954,TRILO ECCLE,Stintino,"Loc. Ridundadu, Via Monte Acuto s.n, Stintino",5,1,5,https://affittasardegna.it/?kross_accommodation=954,
1152,TRILO EUFORBIA,Siniscola,"Via Euforbia, Siniscola",5,1,5,https://affittasardegna.it/?kross_accommodation=1152,
271,TRILO GEMELLI 1,Alghero,"Via Carbonia 2, Alghero",5,1,5,https://affittasardegna.it/?kross_accommodation=271,
262,TRILO GEMELLI 2,Alghero,"Via Carbonia 2, Alghero",5,1,5,https://affittasardegna.it/?kross_accommodation=262,
230,TRILO GEMELLI 4,Alghero,"Via Carbonia 2, Alghero",5,1,5,https://affittasardegna.it/?kross_accommodation=230,
899,TRILO GEMELLI 5,Alghero,"Via Carbonia 2, Alghero",5,1,5,https://affittasardegna.it/?kross_accommodation=899,
1117,TRILO GIGLIO,"Sos Alinos, Orosei","Via Su Vrangone 3, Sos Alinos, Orosei",6,1,6,https://affittasardegna.it/?kross_accommodation=1117,
257,TRILO GROSSETO,San Teodoro,"Via Grosseto, San Teodoro",5,1,5,https://affittasardegna.it/?kross_accommodation=257,
908,TRILO I FARI,Loiri Porto San Paolo,"Via del Corallo s.n.c, Loiri Porto San Paolo",6,1,6,https://affittasardegna.it/?kross_accommodation=908,
1104,TRILO IL TIMONE,Budoni,"Via Su Puntu, 32 Loc. Tanaunella , Budoni",6,1,6,https://affittasardegna.it/?kross_accommodation=1104,
981,TRILO LA CINTA A,San Teodoro,"Vico l'Avru, San Teodoro",5,1,6,https://affittasardegna.it/?kross_accommodation=981,
982,TRILO LA CINTA C,San Teodoro,"Vico l'Avru, San Teodoro",5,1,6,https://affittasardegna.it/?kross_accommodation=982,
983,TRILO LA CINTA D,San Teodoro,"Vico l'Avru, San Teodoro",5,1,6,https://affittasardegna.it/?kross_accommodation=983,
809,TRILO LA PELOSA,Stintino,"Via Angelo Moratti, Stintino",5,1,5,https://affittasardegna.it/?kross_accommodation=809,
1146,TRILO LA PERGOLA FIORITA,Stintino,"Via dei Mirti 15/F, Stintino",6,1,6,https://affittasardegna.it/?kross_accommodation=1146,
1157,TRILO LE GINESTRE,Castelsardo,"Via Valle d'Aosta 4- Lu Bagnu , Castelsardo",5,1,5,https://affittasardegna.it/?kross_accommodation=1157,
1113,TRILO L'ESSENZA,Castelsardo,"Via Valle d'Aosta 3 - Lu Bagnu, Castelsardo",4,1,4,https://affittasardegna.it/?kross_accommodation=1113,
793,TRILO LIBEROTTO,Cala Liberotto,"Via Fuile e Mare, 4, 08028 Sas Linnas Siccas NU, Cala Liberotto",4,1,4,https://affittasardegna.it/?kross_accommodation=793,
1123,TRILO LI FRATI,Badesi,"Baia delle Mimose, Badesi",6,1,6,https://affittasardegna.it/?kross_accommodation=1123,
1165,TRILO L'ONDA BLU,Castelsardo,"Via Cavallotti 1, Castelsardo",4,1,4,https://affittasardegna.it/?kross_accommodation=1165,
1008,TRILO MOLISE,San Teodoro,"Via Molise, San Teodoro",4,1,5,https://affittasardegna.it/?kross_accommodation=1008,
1007,TRILO NEROLI,Orosei,"Via Tiziano Vercellio, Orosei",4,1,5,https://affittasardegna.it/?kross_accommodation=1007,
1126,TRILO NIBARU,Budoni,"Via Carbonia 9 , Budoni",6,1,6,https://affittasardegna.it/?kross_accommodation=1126,
1014,TRILO OE MARINU,Cala Gonone,"Via degli oleandri, Cala Gonone",4,1,4,https://affittasardegna.it/?kross_accommodation=1014,
1003,TRILO PONTES,Orosei,"Via Musio, Orosei",4,1,4,https://affittasardegna.it/?kross_accommodation=1003,
1144,TRILO SA MINDA NOA,Badesi,"Via La Minda 3A, BADESI",4,1,4,https://affittasardegna.it/?kross_accommodation=1144,
1004,TRILO TIRIARZU,Posada,"Via martiri di Bugerru, Posada",4,1,4,https://affittasardegna.it/?kross_accommodation=1004,
